ang:-47.52, dist:0.00
ang:-46.88, dist:0.00
ang:-46.22, dist:0.00
ang:-45.58, dist:0.00
ang:-44.94, dist:0.00
ang:-44.28, dist:0.00
ang:-43.64, dist:0.00
ang:-43.00, dist:0.00
ang:-42.34, dist:0.00
ang:-41.70, dist:0.00
ang:-41.06, dist:0.00
ang:-40.41, dist:0.00
ang:-39.77, dist:0.00
ang:-39.13, dist:0.00
ang:-38.47, dist:0.00
ang:-37.83, dist:0.00
ang:-37.19, dist:0.00
ang:-36.53, dist:0.00
ang:-35.89, dist:0.00
ang:-35.25, dist:0.00
ang:-34.59, dist:0.00
ang:-33.98, dist:0.00
ang:-33.34, dist:0.00
ang:-32.70, dist:0.00
ang:-32.05, dist:0.00
ang:-31.41, dist:0.00
ang:-30.75, dist:0.00
ang:-30.11, dist:0.00
ang:-29.45, dist:0.00
ang:-28.81, dist:0.00
ang:-28.16, dist:0.00
ang:-27.52, dist:0.00
ang:-26.86, dist:0.00
ang:-26.22, dist:0.00
ang:-25.58, dist:0.00
ang:-24.92, dist:0.00
ang:-24.28, dist:0.00
ang:-23.63, dist:0.00
ang:-22.98, dist:0.00
ang:-22.33, dist:0.00
ang:-21.69, dist:0.00
ang:-21.03, dist:0.00
ang:-20.39, dist:0.00
ang:-19.73, dist:0.00
ang:-19.09, dist:0.00
ang:-18.45, dist:0.00
ang:-17.80, dist:0.00
ang:-17.16, dist:0.00
ang:-16.50, dist:0.00
ang:-15.86, dist:0.00
ang:-15.20, dist:0.00
ang:-14.56, dist:0.00
ang:-13.91, dist:0.00
ang:-13.27, dist:0.00
ang:-12.61, dist:0.00
