ang:-51.98, dist:0.00
ang:-51.36, dist:0.00
ang:-50.73, dist:0.00
ang:-50.11, dist:0.00
ang:-49.48, dist:0.00
ang:-48.86, dist:0.00
ang:-48.25, dist:0.00
ang:-47.62, dist:0.00
ang:-47.00, dist:0.00
ang:-46.38, dist:0.00
ang:-45.75, dist:0.00
ang:-45.13, dist:0.00
ang:-44.50, dist:0.00
ang:-43.87, dist:0.00
ang:-43.25, dist:0.00
ang:-42.64, dist:0.00
ang:-42.02, dist:0.00
ang:-41.39, dist:0.00
ang:-40.77, dist:0.00
ang:-40.14, dist:0.00
ang:-39.52, dist:0.00
ang:-38.89, dist:0.00
ang:-38.27, dist:0.00
ang:-37.64, dist:0.00
ang:-37.02, dist:0.00
ang:-35.86, dist:0.00
ang:-35.23, dist:0.00
ang:-34.61, dist:0.00
ang:-33.98, dist:0.00
ang:-33.36, dist:0.00
ang:-32.73, dist:0.00
ang:-32.11, dist:0.00
ang:-31.48, dist:0.00
ang:-30.86, dist:0.00
ang:-30.23, dist:0.00
ang:-29.61, dist:0.00
ang:-28.98, dist:0.00
ang:-28.36, dist:0.00
ang:-27.73, dist:0.00
ang:-27.11, dist:0.00
ang:-26.48, dist:0.00
ang:-25.86, dist:0.00
ang:-25.23, dist:82.20
ang:-24.61, dist:82.10
ang:-23.98, dist:82.00
ang:-23.36, dist:82.00
ang:-22.73, dist:82.00
ang:-22.11, dist:82.10
ang:-21.48, dist:82.10
ang:-20.86, dist:82.20
ang:-20.23, dist:82.40
ang:-19.61, dist:82.60
ang:-18.98, dist:82.70
ang:-18.36, dist:82.90
ang:-17.73, dist:83.10
ang:-17.11, dist:83.40
ang:-16.48, dist:83.80
ang:-15.86, dist:84.40
ang:-15.23, dist:84.70
ang:-14.61, dist:85.30
ang:-13.98, dist:86.10
ang:-13.36, dist:86.70
ang:-12.73, dist:87.60
