ang:-49.98, dist:61.20
ang:-49.36, dist:61.00
ang:-48.73, dist:61.00
ang:-48.11, dist:60.90
ang:-47.48, dist:60.80
ang:-46.86, dist:60.70
ang:-46.23, dist:60.80
ang:-45.61, dist:60.90
ang:-44.98, dist:61.80
ang:-44.36, dist:61.70
ang:-43.72, dist:61.40
ang:-43.09, dist:61.33
ang:-42.47, dist:62.20
ang:-41.84, dist:61.70
ang:-41.22, dist:0.00
ang:-40.59, dist:0.00
ang:-39.97, dist:50.98
ang:-39.34, dist:53.45
ang:-38.72, dist:55.95
ang:-38.09, dist:59.22
ang:-37.47, dist:61.52
ang:-36.84, dist:63.30
ang:-36.22, dist:64.80
ang:-35.58, dist:0.00
ang:-34.92, dist:0.00
ang:-34.27, dist:0.00
ang:-32.38, dist:0.00
ang:-31.78, dist:0.00
ang:-31.17, dist:0.00
ang:-30.56, dist:0.00
ang:-28.69, dist:0.00
ang:-28.06, dist:0.00
ang:-27.42, dist:0.00
ang:-26.78, dist:0.00
ang:-26.14, dist:0.00
ang:-24.27, dist:0.00
ang:-23.66, dist:0.00
ang:-23.03, dist:0.00
ang:-22.42, dist:0.00
ang:-21.80, dist:0.00
ang:-19.91, dist:0.00
ang:-19.91, dist:0.00
ang:-19.91, dist:0.00
ang:-18.03, dist:0.00
ang:-17.53, dist:0.00
ang:-17.02, dist:35.40
ang:-16.50, dist:35.40
ang:-15.98, dist:35.00
ang:-15.47, dist:35.10
ang:-14.95, dist:35.30
ang:-14.44, dist:35.40
ang:-13.92, dist:35.60
ang:-13.41, dist:35.70
ang:-12.89, dist:35.80
ang:-12.38, dist:0.00
